name,category,address,review_index,review_text,review_info,visit_time
임금돼지 태릉,"육류,고기요리",도로명서울 중랑구 동일로 932 2단지상가 103호복사 지번서울 중랑구 묵동 170-1복사,1,항상 깔끔하고 맛있고 친절해요. 고기질도 좋고 반찬도 정갈합니다. 무엇보다 구워주시는게 젤 좋아요. 편하게 잘 먹었습니다.♡ 접기,방문일 1.4.일 2026년 1월 4일 일요일 8번째 방문 인증 수단 영수증,점심에 방문예약 없이 이용대기 시간 30분 이내일상연인・배우자
임금돼지 태릉,"육류,고기요리",도로명서울 중랑구 동일로 932 2단지상가 103호복사 지번서울 중랑구 묵동 170-1복사,2,"직접 화로를 가져와 솔잎을 태워 향을 입힌 뒤 먹기 좋게 구워주는 곳이에요. 매장이 넓지는 않지만, 사람들이 많이 찾아 와요. 고기들도 숙성이 잘 되어있어서 두껍게 썰려도 부드럽게 씹히고 밑반찬들하고 사이드도 맛있어요 접기",방문일 25.12.27.토 2025년 12월 27일 토요일 3번째 방문 인증 수단 영수증,저녁에 방문예약 없이 이용대기 시간 10분 이내 데이트연인・배우자
임금돼지 태릉,"육류,고기요리",도로명서울 중랑구 동일로 932 2단지상가 103호복사 지번서울 중랑구 묵동 170-1복사,3,직접 구워주고 양도 많고 고기 질도 좋아요!! 밑반찬들도 정갈하니 아주 맛있어요!! 특히 생와사비 굿👍👍 고기에 와사비 진짜 좋아하는데 넘 맛있어요 ㅋㅋㅋ 운이 좋아 웨이팅 없이 바로 입장 ㅋㅋㅋ 연말에 오려면 미리 예약 꼭 하세용 ㅋㅋㅋ 접기,방문일 25.12.30.화 2025년 12월 30일 화요일 1번째 방문 인증 수단 영수증,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
임금돼지 태릉,"육류,고기요리",도로명서울 중랑구 동일로 932 2단지상가 103호복사 지번서울 중랑구 묵동 170-1복사,4,평일이라 웨이팅없이 바로 들어갈 수 있었어요 항상 친절하게 응대해 주셔서 자주 오게되는 고깃집이예요 (그래서 아이도 자주 오자고 하는곳이예요)  고기질도 좋고 메뉴구성도 좋아요 접기,방문일 1.5.월 2026년 1월 5일 월요일 8번째 방문 인증 수단 영수증,"저녁에 방문예약 없이 이용대기 시간 바로 입장데이트, 일상아이, 연인・배우자"
임금돼지 태릉,"육류,고기요리",도로명서울 중랑구 동일로 932 2단지상가 103호복사 지번서울 중랑구 묵동 170-1복사,5,그릴링서비스도 너무 좋지만 고기질이 너무 좋아서 맛있어요!!! 고기가 식지않게 작은 화로 위에 올려주시는것도 너무 좋은 아이디어같아요!! 같이 곁들여먹는 밑반찬도 찌개도 계란찜도 맛도리라 왜 웨이팅있는 맛집인지 알것같아요!!! 접기,방문일 25.12.13.토 2025년 12월 13일 토요일 1번째 방문 인증 수단 영수증,저녁에 방문예약 없이 이용대기 시간 30분 이상친목지인・동료
임금돼지 태릉,"육류,고기요리",도로명서울 중랑구 동일로 932 2단지상가 103호복사 지번서울 중랑구 묵동 170-1복사,6,#먹골역맛집 고기가 너무 좋고 서비스도 최고입니다. 사장님과 직원분들이 너무 친절하시고 고기도 맛있게 구워주셔서 감동입니다 ♡♡ 단골하겠습니다. 홍대삼겹살맛집보다 더더더 퀄리티가 좋습니다. 강추 접기,방문일 25.11.15.토 2025년 11월 15일 토요일 6번째 방문 인증 수단 영수증,저녁에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
임금돼지 태릉,"육류,고기요리",도로명서울 중랑구 동일로 932 2단지상가 103호복사 지번서울 중랑구 묵동 170-1복사,7,임금돼지 처음 방문했는데 고기 퀄리티가 정말 좋아요! 돼지고기 잡내 전혀 없고 육즙 가득해서 한 점 먹자마자 감탄했어요. 직원분들도 친절하게 구워주시고 설명도 잘 해주셔서 편하게 먹었습니다. 접기,방문일 25.12.24.수 2025년 12월 24일 수요일 1번째 방문 인증 수단 영수증,저녁에 방문예약 없이 이용대기 시간 10분 이내 데이트연인・배우자
임금돼지 태릉,"육류,고기요리",도로명서울 중랑구 동일로 932 2단지상가 103호복사 지번서울 중랑구 묵동 170-1복사,8,고기가 엄청 좋네요 맛있게 구워주셔서 편히 잘 먹었습니다 맛있게 먹는 꿀팁도 말씀해주셔서 좋았어요 같이 나오는 반찬들도 정갈하게 나오고 맛이 좋네요 숯불이라 더 좋은데 잘 구워주셔서 연기도 안나서 좋은 시간 보냈습니다 :) 접기,방문일 25.12.14.일 2025년 12월 14일 일요일 1번째 방문 인증 수단 영수증,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
임금돼지 태릉,"육류,고기요리",도로명서울 중랑구 동일로 932 2단지상가 103호복사 지번서울 중랑구 묵동 170-1복사,9,토요일에 가족모임하고 월요일에 또 방문.. 그래도 한결같이 맛있는 곳 입니다.  이 근처에서 돼지고기는 여기가 으뜸이에요. 접기,방문일 25.12.15.월 2025년 12월 15일 월요일 14번째 방문 인증 수단 영수증,저녁에 방문예약 없이 이용대기 시간 바로 입장일상
임금돼지 태릉,"육류,고기요리",도로명서울 중랑구 동일로 932 2단지상가 103호복사 지번서울 중랑구 묵동 170-1복사,10,근처에왔다가 사람이 많길래 이끌리듯 들어온 식당인데 와~~~~ 고급지고 분위기도 좋은데 맛도좋다니요ㅠㅠ!!! 밑반찬하나하나 다 취저예용 직원분들도 다 친절하시구 아이들과 기분좋게!!맛있게 먹다갑니당♡♡ 접기,방문일 25.12.7.일 2025년 12월 7일 일요일 1번째 방문 인증 수단 영수증,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상아이, 연인・배우자"
임금돼지 태릉,"육류,고기요리",도로명서울 중랑구 동일로 932 2단지상가 103호복사 지번서울 중랑구 묵동 170-1복사,11,고기 오랜만에먹으니까 너무맛있네요...꼬기도 잘구워주시구 처음에 삼겹살나왔을때 딱히 말도 안했는데 엇 기름이 많네요 바꿔드릴까요? 하고 바꿔주심. 좌석도 편안하고 밥먹기좋습니당 접기,방문일 25.12.30.화 2025년 12월 30일 화요일 2번째 방문 인증 수단 영수증,저녁에 방문예약 없이 이용대기 시간 바로 입장가족모임친척・형제자매
임금돼지 태릉,"육류,고기요리",도로명서울 중랑구 동일로 932 2단지상가 103호복사 지번서울 중랑구 묵동 170-1복사,12,고기가 너무너무 맛있어요!!! 직원분들 모두 친절하시고 고기 굽는 스킬이 최고네요~ 곁들여서 먹을 젖갈들과 반찬도 다양해서 질리지 않고 고기가 계속 들어가요~ 아이도 너무 잘먹네요!!! 접기,방문일 1.10.토 2026년 1월 10일 토요일 1번째 방문 인증 수단 영수증,"저녁에 방문예약 없이 이용대기 시간 10분 이내 일상연인・배우자, 아이"
