name,category,address,review_index,review_text,review_info,visit_time
스타벅스 묵동점,카페,"도로명서울 중랑구 동일로 952 (묵동, 로프트원 태릉입구역) 1층복사 지번서울 중랑구 묵동 169-12 로프트원 태릉입구역 1층복사",1,오픈런 오텀 베어리스타 글라스 골드컵 득템 성공!!!!! 6개 밖에 없고 1인 1개만 구입 가능한데 바로 없어지네요~~~ 주로 새벽시간에 이용하다 보니 자연스럽게 득템도 가능하네요~~~ 접기,방문일 25.12.29.월 2025년 12월 29일 월요일 21번째 방문 인증 수단 영수증,아침에 방문예약 없이 이용대기 시간 10분 이내 일상혼자
스타벅스 묵동점,카페,"도로명서울 중랑구 동일로 952 (묵동, 로프트원 태릉입구역) 1층복사 지번서울 중랑구 묵동 169-12 로프트원 태릉입구역 1층복사",2,커피 맛있어요,방문일 1.10.토 2026년 1월 10일 토요일 32번째 방문 인증 수단 영수증,아침에 방문예약 없이 이용대기 시간 10분 이내 일상혼자
스타벅스 묵동점,카페,"도로명서울 중랑구 동일로 952 (묵동, 로프트원 태릉입구역) 1층복사 지번서울 중랑구 묵동 169-12 로프트원 태릉입구역 1층복사",3,쿠폰으로 산타케잌 샀어요!,방문일 25.12.21.일 2025년 12월 21일 일요일 1번째 방문 인증 수단 영수증,점심에 방문예약 없이 이용대기 시간 바로 입장일상혼자
스타벅스 묵동점,카페,"도로명서울 중랑구 동일로 952 (묵동, 로프트원 태릉입구역) 1층복사 지번서울 중랑구 묵동 169-12 로프트원 태릉입구역 1층복사",4,굳 배달도 빠르고 맛있어용,방문일 25.12.30.화 2025년 12월 30일 화요일 1번째 방문 인증 수단 영수증,저녁에 방문
스타벅스 묵동점,카페,"도로명서울 중랑구 동일로 952 (묵동, 로프트원 태릉입구역) 1층복사 지번서울 중랑구 묵동 169-12 로프트원 태릉입구역 1층복사",5,드립커피 굿♡,방문일 25.11.27.목 2025년 11월 27일 목요일 17번째 방문 인증 수단 영수증,점심에 방문예약 없이 이용대기 시간 10분 이내 일상
스타벅스 묵동점,카페,"도로명서울 중랑구 동일로 952 (묵동, 로프트원 태릉입구역) 1층복사 지번서울 중랑구 묵동 169-12 로프트원 태릉입구역 1층복사",6,최근에 진행한 라떼 이벤트 덕에 새롭게 먹어보기 시작한 돌체 라떼 가끔 먹게 되네요. 단 커피는 좋아하지 않아 시럽 조절해서 먹으면 고소하고 적당히 달달하게 먹을 만하네요~~~ 접기,방문일 25.10.29.수 2025년 10월 29일 수요일 20번째 방문 인증 수단 영수증,점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자
스타벅스 묵동점,카페,"도로명서울 중랑구 동일로 952 (묵동, 로프트원 태릉입구역) 1층복사 지번서울 중랑구 묵동 169-12 로프트원 태릉입구역 1층복사",7,매장이 넓어요 자리가 많아서 좋아여,방문일 25.12.9.화 2025년 12월 9일 화요일 1번째 방문 인증 수단 영수증,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
스타벅스 묵동점,카페,"도로명서울 중랑구 동일로 952 (묵동, 로프트원 태릉입구역) 1층복사 지번서울 중랑구 묵동 169-12 로프트원 태릉입구역 1층복사",8,의자가 편하고 좋습니다,방문일 25.12.30.화 2025년 12월 30일 화요일 1번째 방문 인증 수단 영수증,점심에 방문예약 없이 이용대기 시간 바로 입장
스타벅스 묵동점,카페,"도로명서울 중랑구 동일로 952 (묵동, 로프트원 태릉입구역) 1층복사 지번서울 중랑구 묵동 169-12 로프트원 태릉입구역 1층복사",9,커피가 맛있고 직원분을이 친절해서 자주 방문해요!,방문일 25.12.18.목 2025년 12월 18일 목요일 1번째 방문 인증 수단 영수증,"점심에 방문예약 없이 이용대기 시간 바로 입장친목, 나들이, 가족모임"
스타벅스 묵동점,카페,"도로명서울 중랑구 동일로 952 (묵동, 로프트원 태릉입구역) 1층복사 지번서울 중랑구 묵동 169-12 로프트원 태릉입구역 1층복사",10,,방문일 1.11.일 2026년 1월 11일 일요일 8번째 방문 인증 수단 영수증,저녁에 방문예약 없이 이용대기 시간 바로 입장일상혼자
